day,current_u,current_v,lat,lon
0,-0.10068374803046187,0.027201821425401992,-67.208336,153.29167
1,0.05990886108879819,0.05673719385618659,-67.208336,153.29167
2,-0.027496943649167497,0.011854908202684353,-67.208336,153.29167
3,-0.04715438166811627,-0.01822815899313811,-67.208336,153.29167
4,-0.14970007424583434,0.018065515754699744,-67.208336,153.29167
5,-0.007211592773535505,0.07796947330439223,-67.208336,153.29167
6,0.05447859145929854,0.021797516592901568,-67.208336,153.29167
7,0.043115165603725296,0.07492146303191145,-67.208336,153.29167
0,-0.05606021691742014,0.015839521342954983,-67.208336,156.62502
1,0.05243502343951315,0.057495491595639076,-67.208336,156.62502
2,-0.014268654235626723,0.016973616208189445,-67.208336,156.62502
3,-0.03029007848906445,-0.011501484192728976,-67.208336,156.62502
4,-0.15801974981474623,0.01763383467618872,-67.208336,156.62502
5,-0.06200829633427619,0.10763864597306383,-67.208336,156.62502
6,0.04469914978899631,0.022717371558462592,-67.208336,156.62502
7,0.052514841927289696,0.06580262083695734,-67.208336,156.62502
0,-0.03702634062305445,0.024887006610587185,-67.208336,159.95836
1,0.06633356159879363,0.06056265374158434,-67.208336,159.95836
2,0.018658935582823662,0.009399676323564402,-67.208336,159.95836
3,-0.002314814814814815,-4.252245830372754e-19,-67.208336,159.95836
4,-0.1302886219337558,0.0094629862167706,-67.208336,159.95836
5,-0.07315722204102669,0.11181574656269522,-67.208336,159.95836
6,0.05162801124745164,0.021535418654859046,-67.208336,159.95836
7,0.04636605845360874,0.048680873268423554,-67.208336,159.95836
0,-0.03127937013139195,0.02477293088306449,-67.208336,163.29167
1,0.05743328352530405,0.0815954551587557,-67.208336,163.29167
2,0.014590974210414597,0.012276159395599782,-67.208336,163.29167
3,-0.025462962962962965,-4.960953468768214e-18,-67.208336,163.29167
4,-0.13043064616928288,-0.006305423607493729,-67.208336,163.29167
5,-0.13265972504738813,0.17318537949321058,-67.208336,163.29167
6,0.051206760054536206,0.02370981640536872,-67.208336,163.29167
7,0.04864126045978764,0.06484496416349134,-67.208336,163.29167
0,0.001114765804161996,-0.0367647736187059,-67.208336,166.62502
1,0.10004966661694774,0.05099212298311862,-67.208336,166.62502
2,0.01851851851851852,1.1339322214327345e-18,-67.208336,166.62502
3,8.504491660745509e-19,-0.006944444444444445,-67.208336,166.62502
4,-0.08708751639864776,-0.052669162561113904,-67.208336,166.62502
5,-0.14690707996141272,0.13463847821497663,-67.208336,166.62502
6,0.017206791650605898,0.014759722255072076,-67.208336,166.62502
7,0.04165237857151147,0.04684726813953428,-67.208336,166.62502
0,-0.0164247800429745,-0.06749618712983552,-67.208336,169.95836
1,0.10139273632251034,0.019444137110128268,-67.208336,169.95836
2,0.0008425023858308501,0.014731391274719736,-67.208336,169.95836
3,-0.002314814814814815,-4.252245830372754e-19,-67.208336,169.95836
4,-0.06825488538842639,-0.05040194717725579,-67.208336,169.95836
5,-0.03793747918971287,-0.04718482668916141,-67.208336,169.95836
6,-0.004125738325877742,0.04823158624402296,-67.208336,169.95836
7,0.03189927823799168,0.06689516791920348,-67.208336,169.95836
0,-0.0015917532150434173,-0.08419325693572459,-67.208336,173.29167
1,0.11151315529149243,-0.02824624523124471,-67.208336,173.29167
2,0.023990650533979002,0.014731391274719742,-67.208336,173.29167
3,0.0,0.0,-67.208336,173.29167
4,-0.042837663222532595,-0.05658426065434372,-67.208336,173.29167
5,0.056099765027435584,-0.15778725783768324,-67.208336,173.29167
6,0.03804629782395547,0.03471622656981397,-67.208336,173.29167
7,0.046775849275401626,0.047632701693198415,-67.208336,173.29167
0,0.020355686929600537,-0.06768235298061842,-67.208336,176.54167
1,0.10510538938765486,-0.048457535080945004,-67.208336,176.54167
2,0.029181948420829194,0.05233009656897735,-67.208336,176.54167
3,0.0,0.00925925925925926,-67.208336,176.54167
4,-0.027021906803258194,-0.0485627915320625,-67.208336,176.54167
5,0.0894662726088088,-0.16812108811821613,-67.208336,176.54167
6,0.07450198582478713,0.019021806600926332,-67.208336,176.54167
7,0.051730456514303,0.050393064758171485,-67.208336,176.54167
0,0.04865389184812263,-0.06802926278443792,-67.208336,179.87502
1,0.12377326459051667,-0.06606437479222643,-67.208336,179.87502
2,0.03896139009113143,0.04909542678860151,-67.208336,179.87502
3,0.0076465297659701545,0.014590974210414597,-67.208336,179.87502
4,0.015747519823924458,-0.08209059535105863,-67.208336,179.87502
5,0.11988046815973145,-0.16933013850226072,-67.208336,179.87502
6,0.12421758503683605,-0.031110824873179965,-67.208336,179.87502
7,0.05929863277287933,0.02373390816482625,-67.208336,179.87502
0,0.06858455657546403,0.1360672113941417,-64.958336,149.95836
1,0.1684793992825171,0.13576960340537883,-64.958336,149.95836
2,0.10694936941278516,0.09344533540204503,-64.958336,149.95836
3,0.025462962962962965,1.55915680447001e-18,-64.958336,149.95836
4,-0.05153688204082726,0.07752146037214196,-64.958336,149.95836
5,0.10374958713562747,0.1376795160962811,-64.958336,149.95836
6,0.2019954426512678,0.08609890229319438,-64.958336,149.95836
7,0.1750304899338765,0.11009750425321424,-64.958336,149.95836
0,-0.006944444444444445,0.041666666666666664,-64.958336,153.29167
1,0.08491514460188714,0.0733589955482271,-64.958336,153.29167
2,0.031040723869288463,0.02816064911608047,-64.958336,153.29167
3,-0.043923457962823764,-0.06561364371395391,-64.958336,153.29167
4,-0.1365523730072468,0.026890548908430272,-64.958336,153.29167
5,-0.004868094379869302,0.1355609544210268,-64.958336,153.29167
6,0.1369457055055235,0.06647864923128227,-64.958336,153.29167
7,0.12305650332494118,0.1136332411631109,-64.958336,153.29167
0,0.020530342419617917,0.07159674734665973,-64.958336,156.62502
1,0.11839487063518006,0.10715134275666777,-64.958336,156.62502
2,0.07713356183391516,0.07312607087925094,-64.958336,156.62502
3,0.006523193251529021,-0.009680510452174685,-64.958336,156.62502
4,-0.10237818900403671,0.024986283581106494,-64.958336,156.62502
5,-0.010762401267172733,0.1733661243713788,-64.958336,156.62502
6,0.1401465225617139,0.09269965928143291,-64.958336,156.62502
7,0.1516959504461509,0.15392245594338314,-64.958336,156.62502
0,-0.001990245262702031,0.05660201202264784,-64.958336,159.95836
1,0.0829375307275201,0.07889108605669769,-64.958336,159.95836
2,0.03550108197677035,0.060096434171143215,-64.958336,159.95836
3,-0.03556472460805308,0.033249909793238254,-64.958336,159.95836
4,-0.08845686597403424,0.0101743515264352,-64.958336,159.95836
5,-0.014537849964737422,0.14623123622516201,-64.958336,159.95836
6,0.09630889447189343,0.07967521272162627,-64.958336,159.95836
7,0.11951407742064984,0.1578618362299842,-64.958336,159.95836
0,0.07377965387063781,-0.011706622448429281,-64.958336,163.29167
1,0.09960260618026863,0.07292429264632015,-64.958336,163.29167
2,0.04282116915308604,0.03126502009942601,-64.958336,163.29167
3,-0.0002808341286102828,-0.004910463758239915,-64.958336,163.29167
4,-0.024068595984213865,-0.07483141712703557,-64.958336,163.29167
5,0.04112061906583258,0.13332882117940267,-64.958336,163.29167
6,0.09533965607553486,0.046305576483108374,-64.958336,163.29167
7,0.12550558744936893,0.13112735138862505,-64.958336,163.29167
0,0.09351157072134687,-0.06263853398951129,-64.958336,166.62502
1,0.11871601905930386,0.056070241151803396,-64.958336,166.62502
2,0.03232405917526898,0.00946750350652444,-64.958336,166.62502
3,0.006944444444444445,4.2522458303727545e-19,-64.958336,166.62502
4,-0.00507692447004856,-0.08440041637346557,-64.958336,166.62502
5,0.1500211896731984,0.10105517575545118,-64.958336,166.62502
6,0.10701505923799941,0.04019494710818742,-64.958336,166.62502
7,0.1198892312677941,0.09350503186227294,-64.958336,166.62502
0,0.10138009318015474,-0.04816353325357123,-64.958336,169.95836
1,0.12791161149101996,0.05833561816375158,-64.958336,169.95836
2,0.03525761107947108,0.05667412937161163,-64.958336,169.95836
3,0.0,0.030092592592592598,-64.958336,169.95836
4,-0.000941135914679461,-0.06914884268770287,-64.958336,169.95836
5,0.2368992629981799,0.016045678146565233,-64.958336,169.95836
6,0.12651387457943,0.08082678773948498,-64.958336,169.95836
7,0.13533917270387003,0.14753248885583245,-64.958336,169.95836
0,0.08578025253348955,-0.06906009640881813,-64.958336,173.29167
1,0.13899259245007312,0.015130635801236374,-64.958336,173.29167
2,0.03839972183391086,0.016126351123973533,-64.958336,173.29167
3,0.0,0.0,-64.958336,173.29167
4,0.031844518899505465,-0.07375042944405104,-64.958336,173.29167
5,0.28076116737803825,-0.09813741290783752,-64.958336,173.29167
6,0.14555214361592106,0.05286631746334341,-64.958336,173.29167
7,0.12747596478509576,0.1009035106410906,-64.958336,173.29167
0,0.10695441575323432,-0.18151903922508542,-64.958336,176.54167
1,0.1546662893516089,-0.12028185703736353,-64.958336,176.54167
2,0.030857742398693277,-0.0693348168123343,-64.958336,176.54167
3,0.002101807869164582,-0.11292132650087207,-64.958336,176.54167
4,0.06315221219088235,-0.18541803139964477,-64.958336,176.54167
5,0.26401940862754963,-0.2413777758064668,-64.958336,176.54167
6,0.14828511371659672,-0.08164446369758682,-64.958336,176.54167
7,0.12462245565785333,-0.008116687137932094,-64.958336,176.54167
0,0.12107491605005992,-0.021989787595525185,-64.958336,179.87502
1,0.16067955901977646,0.025843039938998807,-64.958336,179.87502
2,0.0955270586126503,0.0693023968864155,-64.958336,179.87502
3,0.03289172308489781,-0.003778241930547124,-64.958336,179.87502
