day,current_u,current_v,lat,lon
0,0.017472219980835053,-0.023611261727024407,-64.29167,71.29167
1,0.06883695617568032,0.08506981869476932,-64.29167,71.29167
2,0.10248361045031225,0.12298257179494769,-64.29167,71.29167
3,0.09422878463939423,0.09827522931021665,-64.29167,71.29167
4,0.033458154040503445,-0.023512330508896857,-64.29167,71.29167
5,0.14524749878376494,0.03894877330312367,-64.29167,71.29167
6,0.05541513849125041,0.009399676323564405,-64.29167,71.29167
7,-0.02780935675107916,0.11957936632830284,-64.29167,71.29167
0,0.04878231760761126,0.018160331810178065,-64.29167,73.95834
1,0.08704926580138465,0.043179920743148865,-64.29167,73.95834
2,0.08131019119063364,0.14683640486952854,-64.29167,73.95834
3,0.0964122462459945,0.08644543559126429,-64.29167,73.95834
4,0.03149676323564402,-0.038509349466021005,-64.29167,73.95834
5,0.1348209275164798,-0.01908018677573908,-64.29167,73.95834
6,0.05787037037037038,0.0023148148148148186,-64.29167,73.95834
7,-0.022431774731467246,0.10401555318837895,-64.29167,73.95834
0,0.026513709596058994,-0.003703779011660352,-64.29167,76.70836
1,0.08404043252529587,-0.06139836937488532,-64.29167,76.70836
2,0.10109458085431455,0.09290575247781085,-64.29167,76.70836
3,0.12122220202910045,0.03384964330994038,-64.29167,76.70836
4,0.06292996641661829,-0.07099039320665412,-64.29167,76.70836
5,0.11169011386207162,-0.059834684373904046,-64.29167,76.70836
6,0.04401227091367649,-0.04025741872225767,-64.29167,76.70836
7,-0.05262453149621058,0.06157427325565218,-64.29167,76.70836
0,0.040872940670255584,0.0637115713185861,-64.29167,79.29167
1,0.04111333709336571,-0.023052373825460024,-64.29167,79.29167
2,0.0580008150935667,0.13612851628462339,-64.29167,79.29167
3,0.10613717725267934,0.07848523645582478,-64.29167,79.29167
4,0.03043649120577785,0.013077175935253043,-64.29167,79.29167
5,0.06911684798335577,-0.03140003858280357,-64.29167,79.29167
6,0.042087917859582095,-0.007365695637359867,-64.29167,79.29167
7,-0.08048957466784538,0.058507796437311625,-64.29167,79.29167
0,0.07860965905758269,0.03666932493192645,-64.29167,81.95836
1,0.0734173091916729,-0.0712752594405865,-64.29167,81.95836
2,0.09171067846870266,0.05785427117448424,-64.29167,81.95836
3,0.14774647293771734,0.04189650856889126,-64.29167,81.95836
4,0.1012248745126851,0.022270212142211507,-64.29167,81.95836
5,0.07719349829512565,-0.051648230005711414,-64.29167,81.95836
6,0.06245653181109353,0.0021459513498260263,-64.29167,81.95836
7,-0.075559781848533,0.02406859598421386,-64.29167,81.95836
0,0.019641855032959652,0.047700466939347715,-64.29167,84.70836
1,-0.006305423607493699,-0.06645833374029893,-64.29167,84.70836
2,-0.012348749276944892,0.03765577412642432,-64.29167,84.70836
3,0.08287929087814092,0.06062384518861763,-64.29167,84.70836
4,0.05953573147798711,0.038993990624057374,-64.29167,84.70836
5,0.0066653188439274235,-0.07652615281765268,-64.29167,84.70836
6,0.029884410282138146,0.010509039345822846,-64.29167,84.70836
7,-0.1170385652124533,0.002455231879119935,-64.29167,84.70836
0,0.025240430620542584,0.0770232089642653,-64.29167,87.29167
1,-0.010812092196348981,-0.047546778403189105,-64.29167,87.29167
2,-0.06979316769282551,0.021872088661612842,-64.29167,87.29167
3,0.07367891155177932,0.07050724431916773,-64.29167,87.29167
4,0.04496499380212218,0.06085918000600824,-64.29167,87.29167
5,-0.05703153075493828,-0.09396123785777256,-64.29167,87.29167
6,0.023080382901998844,0.0129642712249428,-64.29167,87.29167
7,-0.14478980695904378,-0.022817577399591445,-64.29167,87.29167
0,0.01950143796865451,0.05190884537606192,-64.29167,89.95836
1,-0.014910665643811,-0.05365761172066439,-64.29167,89.95836
2,-0.10845135439339672,-0.014082766703745364,-64.29167,89.95836
3,0.055685276205878105,0.02965705330452197,-64.29167,89.95836
4,0.03668806112249421,0.03437324630767939,-64.29167,89.95836
5,-0.06879600948144095,-0.1284555030426231,-64.29167,89.95836
6,0.020841124826327898,-0.027152730433009736,-64.29167,89.95836
7,-0.15735386483715272,-0.07010139435817968,-64.29167,89.95836
0,0.03896595679772694,-0.1278971651095648,-62.208336,65.95834
1,0.04545160626995127,0.04271077756383596,-62.208336,65.95834
2,0.11096658176517858,0.06947234385568092,-62.208336,65.95834
3,0.1704425992898868,0.1005803117136543,-62.208336,65.95834
4,0.10988615615710651,-0.05780294023394215,-62.208336,65.95834
5,0.1784673734524024,0.06577650298923171,-62.208336,65.95834
6,0.09526524175097895,-0.031202152480139494,-62.208336,65.95834
7,-0.015327130424906583,0.03381157805045882,-62.208336,65.95834
0,0.03567286929723281,-0.09045683249169395,-62.208336,68.70834
1,0.07688675141342294,0.10507669231149085,-62.208336,68.70834
2,0.1200227399217212,0.1172427341948475,-62.208336,68.70834
3,0.19120307840605688,0.16881242545557104,-62.208336,68.70834
4,0.11466463612436963,-0.018211493299565777,-62.208336,68.70834
5,0.21128215126964925,0.10580273148105501,-62.208336,68.70834
6,0.06383599852544007,0.014958229520587438,-62.208336,68.70834
